,city,Area,education,remote,experience,fulltime,label,Target,labelTree
330,3,3,1,2,1,1,5,5,6
331,3,3,1,2,1,1,5,3,6
332,2,3,2,2,2,2,3,2,4
333,2,2,1,2,1,1,5,5,6
334,2,3,2,2,2,2,3,1,4
335,2,3,2,2,2,2,3,2,4
336,3,3,1,2,1,1,5,4,6
337,3,1,1,2,1,1,5,5,6
338,2,3,2,2,2,2,3,5,4
339,2,2,2,2,2,2,3,3,4
340,3,1,1,1,1,2,2,1,3
341,3,1,1,2,1,1,5,5,6
342,2,3,2,2,2,2,3,2,4
343,3,1,1,2,1,1,5,3,6
344,2,2,2,2,2,2,3,2,4
345,2,2,1,2,1,1,5,5,6
346,3,3,1,2,1,1,5,3,6
347,3,1,1,2,1,1,5,5,6
348,1,3,2,1,2,1,1,2,2
349,2,2,2,2,2,2,3,3,4
350,3,3,1,2,1,1,5,2,6
351,1,3,2,1,2,1,1,2,2
352,2,2,2,2,2,2,3,2,4
353,3,3,1,2,1,1,5,2,6
354,2,2,2,2,2,2,3,5,4
355,3,3,1,2,1,1,5,2,6
356,3,1,1,2,1,1,5,5,6
357,3,1,1,2,1,1,5,2,6
358,3,3,1,2,1,1,5,3,6
359,2,2,2,2,2,2,3,5,4
360,2,2,1,2,1,1,5,3,6
361,3,3,1,2,1,1,5,2,6
362,3,3,1,2,1,1,5,5,6
363,2,2,1,2,1,1,5,4,6
364,3,1,1,1,1,2,2,2,3
365,2,2,2,2,2,2,3,2,4
366,2,2,2,2,2,2,3,3,4
367,2,3,2,2,2,2,3,5,4
368,2,2,1,2,1,1,5,3,6
369,3,3,1,2,1,1,5,5,6
370,3,3,1,2,1,1,5,3,6
371,3,1,1,2,1,1,5,1,6
372,1,3,2,1,2,1,1,2,2
373,3,3,1,2,1,1,5,5,6
374,3,1,1,2,1,1,5,2,6
375,3,3,1,2,1,1,5,2,6
376,3,3,1,2,1,1,5,3,6
377,1,3,2,1,2,1,1,2,2
378,2,2,2,2,2,2,3,2,4
379,3,1,1,2,1,1,5,3,6
380,3,1,1,2,1,1,5,3,6
381,2,2,2,2,2,2,3,3,4
382,1,3,2,1,2,1,1,2,2
383,2,2,1,2,1,1,5,2,6
384,2,3,2,2,2,2,3,5,4
385,2,2,1,2,1,1,5,5,6
386,3,1,1,2,1,1,5,5,6
387,2,2,2,2,2,2,3,2,4
388,3,1,1,2,1,1,5,3,6
389,3,3,1,2,1,1,5,5,6
390,3,1,1,2,1,1,5,5,6
391,2,2,2,2,2,2,3,3,4
392,3,1,1,1,1,2,2,2,3
393,2,2,2,2,2,2,3,3,4
394,2,3,2,2,2,2,3,3,4
395,2,2,2,2,2,2,3,5,4
396,3,1,1,2,1,1,5,3,6
397,3,3,1,2,1,1,5,5,6
398,2,2,1,2,1,1,5,3,6
399,3,1,1,2,1,1,5,5,6
400,3,1,1,2,1,1,5,3,6
401,2,3,2,2,2,2,3,3,4
402,2,2,1,2,1,1,5,3,6
403,2,2,2,2,2,2,3,5,4
404,3,3,1,2,1,1,5,3,6
405,2,2,2,2,2,2,3,2,4
406,3,1,1,1,1,2,2,1,3
407,3,1,1,2,1,1,5,3,6
408,2,2,1,2,1,1,5,4,6
409,1,3,2,1,2,1,1,2,2
410,2,3,2,2,2,2,3,2,4
411,2,2,1,2,1,1,5,5,6
412,2,3,2,2,2,2,3,5,4
413,3,1,1,2,1,1,5,3,6
414,2,2,2,2,2,2,3,5,4
415,2,3,2,2,2,2,3,3,4
416,2,3,2,2,2,2,3,2,4
417,2,3,2,2,2,2,3,2,4
418,1,1,2,2,2,1,2,2,3
419,1,1,2,2,2,1,2,2,3
420,2,2,1,2,1,1,5,3,6
421,1,3,2,1,2,1,1,1,2
422,3,3,1,2,1,1,5,5,6
423,3,3,1,2,1,1,5,1,6
424,3,3,1,2,1,1,5,1,6
425,1,3,2,1,2,1,1,1,2
426,2,2,1,2,1,1,5,5,6
427,2,2,2,2,2,2,3,2,4
428,3,3,1,2,1,1,5,2,6
429,3,3,1,2,1,1,5,3,6
430,1,3,2,1,2,1,1,1,2
431,3,1,1,2,1,1,5,3,6
432,3,1,1,1,1,2,2,2,3
433,2,3,2,2,2,2,3,3,4
434,2,2,1,2,1,1,5,5,6
435,2,2,2,2,2,2,3,5,4
436,2,3,2,2,2,2,3,2,4
